,Models,Parameters,AUPRC,AUROC,F1 at 0.1,Precision at 0.1,Recall at 0.1,Accuracy at 0.1,F1 at 0.3,Precision at 0.3,Recall at 0.3,Accuracy at 0.3,F1 at 0.5,Precision at 0.5,Recall at 0.5,Accuracy at 0.5,F1 at 0.7,Precision at 0.7,Recall at 0.7,Accuracy at 0.7,F1 at 0.9,Precision at 0.9,Recall at 0.9,Accuracy at 0.9
19,RF,"{'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 10, 'n_estimators': 1}",0.16059399892252882,0.6601646715487984,0.22321428571428573,0.16891891891891891,0.32894736842105265,0.7805800756620429,0.18749999999999997,0.23076923076923078,0.15789473684210525,0.8688524590163934,0.1694915254237288,0.23809523809523808,0.13157894736842105,0.8764186633039092,0.11650485436893203,0.2222222222222222,0.07894736842105263,0.8852459016393442,0.08888888888888889,0.2857142857142857,0.05263157894736842,0.8965952080706179
20,RF,"{'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 1, 'n_estimators': 100}",0.16151097896890307,0.7092445517679407,0.186046511627907,0.16666666666666666,0.21052631578947367,0.8234552332912989,0.0,0.0,0.0,0.9041614123581336,0.0,0.0,0.0,0.9041614123581336,0.0,0.0,0.0,0.9041614123581336,0.0,0.0,0.0,0.9041614123581336
21,RF,"{'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 1, 'n_estimators': 100}",0.1628625919228797,0.7202594526393722,0.18579234972677594,0.1588785046728972,0.2236842105263158,0.8121059268600253,0.0,0.0,0.0,0.9041614123581336,0.0,0.0,0.0,0.9041614123581336,0.0,0.0,0.0,0.9041614123581336,0.0,0.0,0.0,0.9041614123581336
22,RF,"{'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 1, 'n_estimators': 1}",0.3257614085699728,0.5457800625044392,0.0,0.0,0.0,0.9029003783102144,0.0,0.0,0.0,0.9029003783102144,0.0,0.0,0.0,0.9029003783102144,0.0,0.0,0.0,0.9029003783102144,0.0,0.0,0.0,0.9041614123581336
23,RF,"{'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 20, 'n_estimators': 1}",0.1895696787201325,0.5462801868540644,0.17333333333333334,0.17567567567567569,0.17105263157894737,0.8436317780580076,0.17333333333333334,0.17567567567567569,0.17105263157894737,0.8436317780580076,0.17333333333333334,0.17567567567567569,0.17105263157894737,0.8436317780580076,0.17333333333333334,0.17567567567567569,0.17105263157894737,0.8436317780580076,0.17333333333333334,0.17567567567567569,0.17105263157894737,0.8436317780580076
24,RF,"{'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 50, 'n_estimators': 1}",0.16425765830394914,0.5479170765044649,0.32,0.2828282828282828,0.3684210526315789,0.849936948297604,0.32941176470588235,0.2978723404255319,0.3684210526315789,0.8562421185372006,0.3184713375796178,0.30864197530864196,0.32894736842105265,0.8650693568726355,0.2647058823529412,0.3,0.23684210526315788,0.8738965952080706,0.26356589147286824,0.32075471698113206,0.2236842105263158,0.880201765447667
25,KNN,"{'algorithm': 'auto', 'n_neighbors': 1, 'weights': 'uniform'}",0.20933746138710796,0.5496776904070585,0.1732283464566929,0.21568627450980393,0.14473684210526316,0.8675914249684742,0.1732283464566929,0.21568627450980393,0.14473684210526316,0.8675914249684742,0.1732283464566929,0.21568627450980393,0.14473684210526316,0.8675914249684742,0.1732283464566929,0.21568627450980393,0.14473684210526316,0.8675914249684742,0.1732283464566929,0.21568627450980393,0.14473684210526316,0.8675914249684742
26,RF,"{'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 20, 'n_estimators': 1}",0.20885441919535708,0.5563223259670497,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.8638083228247163,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.8638083228247163,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.8638083228247163,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.8638083228247163,0.2818791946308725,0.2876712328767123,0.27631578947368424,0.8650693568726355
27,RF,"{'min_samples_split': 2, 'max_features': 'log2', 'max_depth': 50, 'n_estimators': 1}",0.22406737131758123,0.5566831510423733,0.35294117647058826,0.35064935064935066,0.35526315789473684,0.8751576292559899,0.35294117647058826,0.35064935064935066,0.35526315789473684,0.8751576292559899,0.35294117647058826,0.35064935064935066,0.35526315789473684,0.8751576292559899,0.35294117647058826,0.35064935064935066,0.35526315789473684,0.8751576292559899,0.35294117647058826,0.35064935064935066,0.35526315789473684,0.8751576292559899
28,RF,"{'min_samples_split': 5, 'max_features': 'sqrt', 'max_depth': 100, 'n_estimators': 1}",0.19687317367104104,0.5567996025556261,0.25925925925925924,0.2441860465116279,0.27631578947368424,0.8486759142496847,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.8587641866330391,0.26490066225165565,0.26666666666666666,0.2631578947368421,0.8600252206809584,0.23703703703703702,0.2711864406779661,0.21052631578947367,0.8701134930643127,0.20634920634920637,0.26,0.17105263157894737,0.8738965952080706
29,RF,"{'min_samples_split': 5, 'max_features': 'log2', 'max_depth': 50, 'n_estimators': 1}",0.16404128149046615,0.5568252756631474,0.16568047337278105,0.15053763440860216,0.18421052631578946,0.8221941992433796,0.14285714285714288,0.14102564102564102,0.14473684210526316,0.8335435056746532,0.14864864864864866,0.1527777777777778,0.14473684210526316,0.8411097099621689,0.11290322580645162,0.14583333333333334,0.09210526315789473,0.8612862547288777,0.11666666666666667,0.1590909090909091,0.09210526315789473,0.8663303909205549
30,RF,"{'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 50, 'n_estimators': 1}",0.23604549818062934,0.5659873332343671,0.24285714285714285,0.265625,0.2236842105263158,0.8663303909205549,0.24285714285714285,0.265625,0.2236842105263158,0.8663303909205549,0.24285714285714285,0.265625,0.2236842105263158,0.8663303909205549,0.24285714285714285,0.265625,0.2236842105263158,0.8663303909205549,0.24285714285714285,0.265625,0.2236842105263158,0.8663303909205549
31,RF,"{'min_samples_split': 10, 'max_features': 'sqrt', 'max_depth': 50, 'n_estimators': 1}",0.17802307944935766,0.5669423897570294,0.24731182795698928,0.20909090909090908,0.3026315789473684,0.8234552332912989,0.21768707482993196,0.22535211267605634,0.21052631578947367,0.8549810844892812,0.15384615384615383,0.18518518518518517,0.13157894736842105,0.8612862547288777,0.12727272727272726,0.20588235294117646,0.09210526315789473,0.8789407313997478,0.041237113402061855,0.09523809523809523,0.02631578947368421,0.8827238335435057
32,RF,"{'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 100, 'n_estimators': 1}",0.24468761402010775,0.5694293759299246,0.24836601307189543,0.24675324675324675,0.25,0.8549810844892812,0.24836601307189543,0.24675324675324675,0.25,0.8549810844892812,0.24836601307189543,0.24675324675324675,0.25,0.8549810844892812,0.24836601307189543,0.24675324675324675,0.25,0.8549810844892812,0.24836601307189543,0.24675324675324675,0.25,0.8549810844892812
33,RF,"{'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 1, 'n_estimators': 1}",0.29011684418854755,0.5714508106834193,0.07407407407407407,0.6,0.039473684210526314,0.905422446406053,0.07407407407407407,0.6,0.039473684210526314,0.905422446406053,0.07407407407407407,0.6,0.039473684210526314,0.905422446406053,0.07407407407407407,0.6,0.039473684210526314,0.905422446406053,0.0,0.0,0.0,0.9041614123581336
34,RF,"{'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 20, 'n_estimators': 1}",0.17928380950461198,0.5743283105131743,0.3076923076923077,0.24242424242424243,0.42105263157894735,0.8184110970996217,0.3023255813953488,0.2708333333333333,0.34210526315789475,0.8486759142496847,0.261437908496732,0.2597402597402597,0.2631578947368421,0.8575031525851198,0.2878787878787879,0.3392857142857143,0.25,0.8814627994955864,0.10101010101010101,0.21739130434782608,0.06578947368421052,0.8877679697351829
35,RF,"{'min_samples_split': 10, 'max_features': 'log2', 'max_depth': 50, 'n_estimators': 1}",0.16870075962815897,0.5989821640320777,0.28717948717948716,0.23529411764705882,0.3684210526315789,0.8247162673392182,0.29113924050632917,0.2804878048780488,0.3026315789473684,0.8587641866330391,0.2015503875968992,0.24528301886792453,0.17105263157894737,0.8701134930643127,0.11009174311926608,0.18181818181818182,0.07894736842105263,0.8776796973518285,0.10526315789473684,0.2631578947368421,0.06578947368421052,0.89281210592686
