,Bill_No,Sponsor,did_it_pass,No. Cosponsors,dir_degree_centrality_sponsor,dir_pagerank_sponsor,dir_closeness_centrality_sponsor,dir_eigenvector_centrality_sponsor,dir_load_centrality_sponsor,dir_avg_degree_centrality_cosponsor,dir_avg_pagerank_cosponsor,dir_avg_closeness_centrality_cosponsor,dir_avg_eigenvector_centrality_cosponsor,dir_avg_load_centrality_cosponsor,und_degree_centrality_sponsor,und_pagerank_sponsor,und_closeness_centrality_sponsor,und_eigenvector_centrality_sponsor,und_load_centrality_sponsor,und_avg_degree_centrality_cosponsor,und_avg_pagerank_cosponsor,und_avg_closeness_centrality_cosponsor,und_avg_eigenvector_centrality_cosponsor,und_avg_load_centrality_cosponsor
1629,1762,"Sen. Boxer, Barbara [D-CA]",not_passed,2,0.78,0.002874114127082,0.765703125,0.024068303700037,0.000886606154788,1.01,0.006205608724513,0.762827680193822,0.076939063796472,0.004176999793236,0.7,0.0134296862473,0.769230769230769,0.14915646386806,0.000981286126495,0.765,0.013408360461023,0.810048537321265,0.144775821297842,0.003243185033677
1630,1763,"Sen. Boxer, Barbara [D-CA]",not_passed,0,0.78,0.002874114127082,0.765703125,0.024068303700037,0.000886606154788,0,0,0,0,0,0.7,0.0134296862473,0.769230769230769,0.149156463868061,0.000981286126495,0,0,0,0,0
2019,2157,"Sen. Boxer, Barbara [D-CA]",not_passed,12,0.9,0.003529895659407,0.771732283464567,0.029678930962134,0.002555785731045,1.13083333333333,0.009835933989452,0.717933560030733,0.088886588815886,0.007967242310955,0.72,0.013683819261996,0.78125,0.150305072183132,0.001349924926904,0.775,0.010460858892267,0.825553812272327,0.102498219570895,0.004072642014027
2022,2160,"Sen. Boxer, Barbara [D-CA]",not_passed,1,0.91,0.003605429539546,0.771732283464567,0.030679966448271,0.002751903959991,1.07,0.011312083961624,0.666734693877551,0.128630574051516,0.00600569257314,0.72,0.013547517764182,0.78125,0.14882191283491,0.001522434067769,0.73,0.010673859534964,0.78740157480315,0.10079063279512,0.002482572007541
2156,2294,"Sen. Boxer, Barbara [D-CA]",not_passed,1,0.92,0.003603545920024,0.78125,0.030805853322165,0.002355176835648,1.62,0.026600881281016,0.746268656716418,0.240461408046131,0.006335099651355,0.73,0.013564151280833,0.78740157480315,0.150061953567779,0.001263113091779,0.97,0.014887257054727,0.970873786407767,0.145708297207167,0.003881483580305
2252,2392,"Sen. Boxer, Barbara [D-CA]",not_passed,5,0.97,0.003868024889937,0.8,0.034955259479404,0.003870615206974,1.438,0.01588481238545,0.758802739812466,0.156254908925899,0.006155739514411,0.75,0.013164259965783,0.8,0.144419565330896,0.001344652075239,0.886,0.011844177097335,0.901865995828332,0.116200576152165,0.003869966741967
2292,2432,"Sen. Boxer, Barbara [D-CA]",not_passed,0,0.97,0.003835220001786,0.8,0.034442962688455,0.003786182338001,0,0,0,0,0,0.75,0.013263227661867,0.8,0.145409558062309,0.001302438033946,0,0,0,0,0
2323,2465,"Sen. Boxer, Barbara [D-CA]",not_passed,11,1.02,0.004342712248503,0.8,0.043461834754708,0.003512197923089,1.30090909090909,0.012097543545731,0.782034754215208,0.123662868957609,0.005372927438167,0.75,0.011128598054586,0.8,0.115578930482886,0.00198638700949,0.842727272727273,0.011266361452158,0.871680198947279,0.112382596469394,0.0036803869361
2424,2567,"Sen. Boxer, Barbara [D-CA]",not_passed,1,1.04,0.004339990095577,0.813008130081301,0.043784068744652,0.003381636838825,1.68,0.025868602064304,0.775193798449612,0.235043178305184,0.00742002641078,0.77,0.01123473203834,0.813008130081301,0.116741764916375,0.001965234849898,0.97,0.014204976662871,0.970873786407767,0.143816154121488,0.003542210245618
2450,2593,"Sen. Boxer, Barbara [D-CA]",not_passed,11,1.06,0.004732386463414,0.819672131147541,0.049732687573043,0.002456551933824,1.18454545454545,0.008782494932497,0.767047603742605,0.088234585372697,0.005096963301787,0.78,0.010633198539622,0.819672131147541,0.108376921756165,0.002756396331145,0.809090909090909,0.010666132781983,0.84483657452803,0.106123675960728,0.003229830197362
2506,2649,"Sen. Boxer, Barbara [D-CA]",not_passed,2,1.08,0.004853875027798,0.826446280991735,0.051382534235499,0.002885826936375,1.22,0.014615404632553,0.739709575281144,0.12894352552623,0.005789825416618,0.79,0.01081807011364,0.826446280991735,0.11040843277979,0.002749871771987,0.795,0.011133970380223,0.847755733783594,0.112147006176564,0.002398261900526
2524,2667,"Sen. Boxer, Barbara [D-CA]",not_passed,0,1.08,0.004869785731845,0.826446280991735,0.051322777328696,0.002747076410147,0,0,0,0,0,0.79,0.010935142436189,0.826446280991735,0.112187059440629,0.002622254331177,0,0,0,0,0
2528,2671,"Sen. Boxer, Barbara [D-CA]",not_passed,1,1.08,0.004983160454594,0.826446280991735,0.052902736093686,0.002747076410147,1.68,0.027224551419874,0.775193798449612,0.246608350862529,0.005839941926208,0.79,0.010875800345115,0.826446280991735,0.111134081062081,0.002739705756754,0.97,0.015149366535579,0.970873786407767,0.155859375654857,0.002738447786488
2532,2675,"Sen. Boxer, Barbara [D-CA]",not_passed,0,1.08,0.004982989221348,0.826446280991735,0.052884793935584,0.002747076410147,0,0,0,0,0,0.79,0.010870155323925,0.826446280991735,0.111072860247366,0.002748629249012,0,0,0,0,0
2630,2773,"Sen. Boxer, Barbara [D-CA]",not_passed,0,1.08,0.004921179079545,0.826446280991735,0.051850335528597,0.002809778857043,0,0,0,0,0,0.79,0.010855530706293,0.826446280991735,0.110832226766264,0.002629776126626,0,0,0,0,0
3356,3503,"Sen. Boxer, Barbara [D-CA]",not_passed,5,1.08,0.005026389007917,0.826446280991735,0.054771421405599,0.002737714311971,1.316,0.009961684092022,0.815957946877787,0.113783195308839,0.004667054689237,0.79,0.010978247561819,0.826446280991735,0.112783598373841,0.002108448162266,0.854,0.010840183054822,0.880039279659598,0.108415851429222,0.003604296996615
3447,3594,"Sen. Boxer, Barbara [D-CA]",not_passed,0,1.08,0.005008468689351,0.826446280991735,0.054377443359782,0.002601494540457,0,0,0,0,0,0.79,0.011149620443181,0.826446280991735,0.115573056918218,0.001691247657222,0,0,0,0,0
3597,3746,"Sen. Boxer, Barbara [D-CA]",not_passed,1,1.08,0.00498545297026,0.826446280991735,0.054451047878111,0.002588070513907,1.71,0.029822949996831,0.793650793650794,0.275502718906632,0.00401803054029,0.79,0.011342192240778,0.826446280991735,0.117744831508484,0.001603523971669,0.97,0.015384805310547,0.970873786407767,0.153640265974343,0.002488035448631
3630,3779,"Sen. Boxer, Barbara [D-CA]",not_passed,0,1.08,0.004929600727198,0.826446280991735,0.053652010553983,0.002586297356385,0,0,0,0,0,0.79,0.011375891076091,0.826446280991735,0.118441471901759,0.001595555865588,0,0,0,0,0
3745,3895,"Sen. Boxer, Barbara [D-CA]",not_passed,1,1.08,0.004942908506174,0.826446280991735,0.054176573830046,0.002502043616444,1.71,0.029374190070665,0.793650793650794,0.271101332666703,0.003535219393995,0.79,0.011360854099417,0.826446280991735,0.117886619799031,0.0016004149274,0.97,0.014565360396299,0.970873786407767,0.143338310960595,0.002728620014183
3776,3927,"Sen. Boxer, Barbara [D-CA]",not_passed,0,1.08,0.004926365711957,0.826446280991735,0.053868819736551,0.002540971676484,0,0,0,0,0,0.79,0.011405656083848,0.826446280991735,0.118858809515004,0.001506267814514,0,0,0,0,0
3777,3928,"Sen. Boxer, Barbara [D-CA]",not_passed,0,1.08,0.004926365711957,0.826446280991735,0.053868819736551,0.002540971676484,0,0,0,0,0,0.79,0.011405656083848,0.826446280991735,0.118858809515003,0.001506267814514,0,0,0,0,0
3792,3943,"Sen. Boxer, Barbara [D-CA]",not_passed,8,1.12,0.005193683934985,0.826446280991735,0.058011409715402,0.003518783993126,1.275,0.008868936330865,0.783002211082341,0.097350677981636,0.005611462150535,0.79,0.010778148313218,0.826446280991735,0.111277384194975,0.001812086782054,0.84375,0.009999555641778,0.868446341369441,0.099707214155048,0.003478002707584
3813,3965,"Sen. Boxer, Barbara [D-CA]",not_passed,0,1.12,0.00519381167272,0.826446280991735,0.05809797697517,0.003532017509516,0,0,0,0,0,0.79,0.01099611898222,0.826446280991735,0.113710433623788,0.001597645552198,0,0,0,0,0
3814,3966,"Sen. Boxer, Barbara [D-CA]",not_passed,0,1.12,0.00519381167272,0.826446280991735,0.05809797697517,0.003532017509516,0,0,0,0,0,0.79,0.01099611898222,0.826446280991735,0.113710433623788,0.001597645552198,0,0,0,0,0
3865,4019,"Sen. Boxer, Barbara [D-CA]",not_passed,0,1.13,0.005167191166707,0.833333333333333,0.057572621285453,0.003616539402506,0,0,0,0,0,0.8,0.011023473351146,0.833333333333333,0.113646928377734,0.001687768721007,0,0,0,0,0
3903,4058,"Sen. Boxer, Barbara [D-CA]",not_passed,1,1.13,0.005248719793119,0.833333333333333,0.058682480588359,0.003581759677462,1.71,0.028819879567933,0.793650793650794,0.265629979675418,0.003307105308237,0.8,0.011151810818295,0.833333333333333,0.115000452449261,0.001531786407211,0.97,0.014383498684611,0.970873786407767,0.142151371379738,0.002605863077697
72,174,"Sen. Brownback, Sam [R-KS]",not_passed,2,0.41,0.036982817020061,0.211376146788991,0.126664453136101,0.012650663562027,0.32,0.029533986920722,0.209823380326311,0.134837858651776,0.010464268872729,0.38,0.022054973253516,0.613496932515337,0.144426641076717,0.04335056420536,0.305,0.019288789846173,0.597352838732149,0.141016762358275,0.05241613852123
90,192,"Sen. Brownback, Sam [R-KS]",not_passed,27,0.51,0.055827380681898,0.236050420168067,0.201030101970109,0.0121771131833,0.194444444444444,0.010234236682272,0.242190271862275,0.04278812615917,0.004863242882673,0.47,0.030552311946457,0.649350649350649,0.186904709184941,0.034213115532787,0.182962962962963,0.01026155163786,0.549963838525787,0.085916517963895,0.009832685528611
